Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_Q
2024-01-01,1,Ciutat Vella,1,el Raval,1,56,1,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,45,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,48,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,38,1,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,101,1,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,162,1,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,133,1,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,107,1,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,84,1,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,79,1,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,68,1,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,70,1,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,55,1,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,47,1,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,44,1,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,30,1,15
2024-01-01,1,Ciutat Vella,1,el Raval,1,31,1,16
2024-01-01,1,Ciutat Vella,1,el Raval,1,28,1,17
2024-01-01,1,Ciutat Vella,1,el Raval,1,21,1,18
2024-01-01,1,Ciutat Vella,1,el Raval,1,..,1,19
2024-01-01,1,Ciutat Vella,1,el Raval,1,..,1,20
2024-01-01,1,Ciutat Vella,1,el Raval,1,47,2,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,45,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,45,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,38,2,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,81,2,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,163,2,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,154,2,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,152,2,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,155,2,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,96,2,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,68,2,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,70,2,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,56,2,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,39,2,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,52,2,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,29,2,15
2024-01-01,1,Ciutat Vella,1,el Raval,1,26,2,16
2024-01-01,1,Ciutat Vella,1,el Raval,1,14,2,17
2024-01-01,1,Ciutat Vella,1,el Raval,1,6,2,18
2024-01-01,1,Ciutat Vella,1,el Raval,1,..,2,19
2024-01-01,1,Ciutat Vella,1,el Raval,2,153,1,0
2024-01-01,1,Ciutat Vella,1,el Raval,2,183,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,186,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,146,1,3
2024-01-01,1,Ciutat Vella,1,el Raval,2,217,1,4
2024-01-01,1,Ciutat Vella,1,el Raval,2,335,1,5
2024-01-01,1,Ciutat Vella,1,el Raval,2,302,1,6
2024-01-01,1,Ciutat Vella,1,el Raval,2,287,1,7
2024-01-01,1,Ciutat Vella,1,el Raval,2,229,1,8
2024-01-01,1,Ciutat Vella,1,el Raval,2,189,1,9
2024-01-01,1,Ciutat Vella,1,el Raval,2,176,1,10
2024-01-01,1,Ciutat Vella,1,el Raval,2,170,1,11
2024-01-01,1,Ciutat Vella,1,el Raval,2,134,1,12
2024-01-01,1,Ciutat Vella,1,el Raval,2,107,1,13
2024-01-01,1,Ciutat Vella,1,el Raval,2,63,1,14
2024-01-01,1,Ciutat Vella,1,el Raval,2,68,1,15
2024-01-01,1,Ciutat Vella,1,el Raval,2,48,1,16
2024-01-01,1,Ciutat Vella,1,el Raval,2,38,1,17
2024-01-01,1,Ciutat Vella,1,el Raval,2,21,1,18
2024-01-01,1,Ciutat Vella,1,el Raval,2,6,1,19
2024-01-01,1,Ciutat Vella,1,el Raval,2,..,1,20
2024-01-01,1,Ciutat Vella,1,el Raval,2,189,2,0
2024-01-01,1,Ciutat Vella,1,el Raval,2,175,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,192,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,185,2,3
2024-01-01,1,Ciutat Vella,1,el Raval,2,227,2,4
2024-01-01,1,Ciutat Vella,1,el Raval,2,331,2,5
2024-01-01,1,Ciutat Vella,1,el Raval,2,405,2,6
2024-01-01,1,Ciutat Vella,1,el Raval,2,335,2,7
2024-01-01,1,Ciutat Vella,1,el Raval,2,315,2,8
2024-01-01,1,Ciutat Vella,1,el Raval,2,241,2,9
2024-01-01,1,Ciutat Vella,1,el Raval,2,245,2,10
2024-01-01,1,Ciutat Vella,1,el Raval,2,181,2,11
2024-01-01,1,Ciutat Vella,1,el Raval,2,124,2,12
2024-01-01,1,Ciutat Vella,1,el Raval,2,90,2,13
2024-01-01,1,Ciutat Vella,1,el Raval,2,78,2,14
2024-01-01,1,Ciutat Vella,1,el Raval,2,57,2,15
2024-01-01,1,Ciutat Vella,1,el Raval,2,32,2,16
2024-01-01,1,Ciutat Vella,1,el Raval,2,26,2,17
2024-01-01,1,Ciutat Vella,1,el Raval,2,9,2,18
