Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,EDAT_Q,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,1,54,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,49,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,45,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,49,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,56,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,48,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,36,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,35,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,103,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,81,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,159,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,186,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,161,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,198,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,123,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,166,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,82,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,153,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,78,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,103,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,76,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,65,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,84,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,81,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,56,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,54,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,48,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,51,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,46,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,52,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,32,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,33,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,31,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,20,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,23,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,18,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,17,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,7,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,..,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,..,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,..,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,155,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,211,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,173,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,168,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,179,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,186,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,162,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,171,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,245,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,263,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,361,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,347,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,341,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,415,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,304,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,358,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,244,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,331,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,191,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,267,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,190,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,222,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,167,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,204,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,145,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,129,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,112,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,107,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,63,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,77,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,73,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,57,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,48,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,34,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,31,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,21,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,32,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,11,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,5,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,..,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,..,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,115,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,132,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,120,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,133,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,115,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,142,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,124,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,132,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,229,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,271,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,308,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,445,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,320,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,411,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,242,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,362,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,222,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,307,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,224,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,311,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,168,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,239,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,142,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,211,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,108,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,138,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,111,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,103,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,75,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,79,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,54,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,50,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,44,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,38,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,40,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,15,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,29,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,8,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,7,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,..,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,..,20,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,224,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,222,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,182,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,208,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,174,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,196,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,174,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,186,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,262,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,333,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,396,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,514,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,422,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,574,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,356,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,516,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,267,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,450,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,225,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,434,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,252,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,302,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,202,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,255,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,126,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,153,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,104,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,120,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,90,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,75,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,89,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,67,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,83,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,55,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,40,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,35,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,22,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,8,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,6,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,142,0,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,143,0,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,139,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,158,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,142,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,131,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,164,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,168,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,219,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,267,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,346,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,384,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,368,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,475,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,296,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,400,7,2
